                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8676,                 2.0626,                 2.9382,                0.00148,                 0.0396,                0.00083,                 0.0001,                  4.066,                 3.7482,                 4.1838,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.7941,                 1.9749,                 2.9161,                0.00148,                 0.0396,                0.00084,                0.00012,                 3.9877,                 3.7253,                 4.1394,             0.00017109,             0.00017109,             0.00017109
                      3,                 2.7376,                 1.9013,                 2.8311,                0.00111,                 0.0297,                0.00063,                 0.0001,                 3.9122,                 3.6619,                 4.1088,             0.00025228,             0.00025228,             0.00025228
                      4,                 2.6389,                 1.9496,                 2.8205,                0.00148,                 0.0396,                0.00087,                0.00013,                 3.8096,                 3.4962,                 4.0636,             0.00032357,             0.00032357,             0.00032357
                      5,                 2.6677,                 1.8899,                 2.7851,                0.00815,                0.21782,                0.00634,                0.00148,                 3.6642,                 3.4088,                 4.0088,             0.00038496,             0.00038496,             0.00038496
                      6,                 2.6516,                 1.8779,                 2.7504,                0.01074,                0.28713,                0.01183,                0.00264,                 3.5383,                 3.3308,                 3.9497,             0.00043645,             0.00043645,             0.00043645
                      7,                 2.6541,                 1.9036,                 2.7199,                   0.02,                0.53465,                0.11183,                0.03323,                 3.2146,                 3.0515,                 3.7624,             0.00047804,             0.00047804,             0.00047804
                      8,                 2.5133,                 1.9149,                   2.68,                0.45849,                0.18812,                0.20735,                0.06859,                 3.0122,                 2.7581,                 3.5522,             0.00050973,             0.00050973,             0.00050973
                      9,                 2.4976,                 1.8438,                 2.6367,                0.38851,                0.16832,                0.22404,                0.08182,                 2.7459,                 2.2891,                  3.211,             0.00053152,             0.00053152,             0.00053152
                     10,                 2.5061,                 1.8015,                  2.583,                0.45335,                0.18812,                0.29048,                0.10197,                 2.7149,                 2.2233,                 3.1151,             0.00054341,             0.00054341,             0.00054341
                     11,                 2.3175,                 1.9517,                 2.4958,                0.52773,                0.25743,                0.37711,                0.12531,                 2.5742,                 2.0856,                 2.9458,              0.0005454,              0.0005454,              0.0005454
                     12,                 2.3746,                 1.9664,                  2.526,                0.42317,                0.27723,                0.34979,                0.13116,                 2.4938,                 1.9875,                 2.7397,             0.00053749,             0.00053749,             0.00053749
                     13,                 2.2696,                 1.9755,                  2.484,                0.58174,                0.20792,                0.31683,                0.12574,                 2.5824,                 1.9922,                 2.7297,             0.00051968,             0.00051968,             0.00051968
                     14,                 2.2509,                 1.9431,                 2.4778,                0.38758,                0.29703,                0.32316,                 0.1239,                 2.5593,                 1.9489,                 2.6378,             0.00049197,             0.00049197,             0.00049197
                     15,                 2.2202,                 1.8768,                 2.4472,                0.46082,                0.43564,                0.42697,                0.16649,                 2.3706,                 1.7739,                 2.4976,             0.00045436,             0.00045436,             0.00045436
                     16,                 2.2347,                 1.8726,                 2.4335,                0.52066,                0.47525,                 0.5039,                0.18742,                 2.2969,                 1.7379,                 2.4592,             0.00040685,             0.00040685,             0.00040685
                     17,                 2.1844,                 1.8619,                 2.4393,                0.65718,                0.46535,                0.57402,                0.22712,                 2.1512,                 1.6903,                 2.3875,             0.00034944,             0.00034944,             0.00034944
                     18,                 2.1939,                 1.8725,                 2.4263,                0.64354,                0.48264,                0.57076,                0.24651,                 2.0667,                 1.6461,                 2.3322,             0.00028213,             0.00028213,             0.00028213
                     19,                 2.1241,                 1.8197,                  2.348,                0.62339,                0.47525,                 0.5721,                0.26481,                 2.0171,                 1.6236,                 2.2805,             0.00020492,             0.00020492,             0.00020492
                     20,                 2.1824,                 1.8035,                 2.3335,                0.56447,                0.57746,                0.60786,                 0.2745,                 1.9631,                  1.586,                 2.2231,             0.00011781,             0.00011781,             0.00011781
